#spec;afo id;file

BSI-eRp-ePA;O.Plat_10;Sources/eRpApp/Screens/Settings/FOSS/FOSSView.swift:37
BSI-eRp-ePA;O.Plat_10;Sources/eRpApp/Screens/Settings/TermsOfUse/TermsOfUseView.swift:39
BSI-eRp-ePA;O.Plat_11;doc/manual/requirement-notes.md:185
BSI-eRp-ePA;O.Plat_11;Sources/eRpApp/Screens/Settings/DataPrivacy/DataPrivacyView.swift:45
BSI-eRp-ePA;O.Plat_11;Sources/eRpApp/Screens/Settings/TermsOfUse/TermsOfUseView.swift:44
BSI-eRp-ePA;O.Plat_11;Sources/eRpApp/Screens/Settings/FOSS/FOSSView.swift:42
BSI-eRp-ePA;O.Plat_12;doc/manual/requirement-notes.md:186
BSI-eRp-ePA;O.Plat_13;doc/manual/requirement-notes.md:187
BSI-eRp-ePA;O.Plat_14;doc/manual/requirement-notes.md:188
BSI-eRp-ePA;O.Purp_1;doc/manual/requirement-notes.md:69
BSI-eRp-ePA;O.Purp_1;Sources/eRpApp/Screens/Settings/DataPrivacy/DataPrivacyView.swift:28
BSI-eRp-ePA;O.Purp_1;Sources/eRpApp/Screens/Settings/SettingsLegalInfoView.swift:48
BSI-eRp-ePA;O.Purp_2;Sources/eRpApp/Screens/CameraView/ErxTaskScannerView.swift:37
BSI-eRp-ePA;O.Purp_2;Sources/FeatureCardWall/CAN/CardWallCANView.swift:120
BSI-eRp-ePA;O.Purp_2;Sources/FeatureCardWall/PIN/CardWallPINView.swift:37
BSI-eRp-ePA;O.Purp_2;Sources/eRpApp/Tracking/AnalyticsReducer.swift:33
BSI-eRp-ePA;O.Purp_2;Sources/eRpApp/Tracking/ContentSquareAnalyticsAdapter.swift:119
BSI-eRp-ePA;O.Purp_2;Sources/eRpApp/Screens/Pharmacy/Redeem/PharmacyContactView.swift:28
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Onboarding/OnboardingLegalInfoView.swift:108
BSI-eRp-ePA;O.Purp_3;doc/manual/requirement-notes.md:70
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Settings/TermsOfUse/TermsOfUseView.swift:28
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Onboarding/OnboardingAnalyticsView.swift:84
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Onboarding/OnboardingAnalyticsView.swift:98
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Onboarding/OnboardingAnalyticsDetailView.swift:88
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Onboarding/OnboardingAnalyticsDetailView.swift:74
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Onboarding/OnboardingDomain.swift:129
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Onboarding/OnboardingDomain.swift:135
BSI-eRp-ePA;O.Purp_3;Sources/eRpApp/Screens/Onboarding/OnboardingDomain.swift:140
BSI-eRp-ePA;O.Purp_4;Sources/eRpApp/Tracking/AnalyticsReducer.swift:33
BSI-eRp-ePA;O.Purp_4;Sources/eRpApp/Tracking/ContentSquareAnalyticsAdapter.swift:119
BSI-eRp-ePA;O.Purp_5;Sources/eRpApp/Screens/Settings/SettingsView.swift:130
BSI-eRp-ePA;O.Purp_5;Sources/eRpApp/Screens/Settings/SettingsDomain.swift:176
BSI-eRp-ePA;O.Purp_5;Sources/eRpApp/Screens/Settings/SettingsView.swift:60
BSI-eRp-ePA;O.Purp_5;Sources/eRpApp/Screens/Settings/SettingsDomain.swift:189
BSI-eRp-ePA;O.Purp_6;Sources/eRpApp/Screens/Settings/SettingsView.swift:131
BSI-eRp-ePA;O.Purp_6;doc/manual/requirement-notes.md:71
BSI-eRp-ePA;O.Purp_7;doc/manual/requirement-notes.md:72
BSI-eRp-ePA;O.Purp_8;doc/manual/requirement-notes.md:73
BSI-eRp-ePA;O.Purp_8;Sources/eRpApp/Session/KeychainStorage.swift:35
